review_id,product_id,rating,content,extracted_aspects,extracted_features,extracted_sentiment,human_aspects_correct,human_aspects_missed,human_features_correct,human_sentiment_correct,human_error_type,human_notes
B00Z7SIKFW_A1LA4K5JF78BER_1499472000,B00Z7SIKFW,3,由于S7 edge的曲面设计，很难找到完美的屏幕保护膜。希望有一款能贴合曲面弧度的模具成型保护膜。这款在屏幕平面部分表现还不错，我喜欢它对屏幕上下区域的完整覆盖，甚至能保护到非显示区域。但保护膜边缘与屏幕的圆润曲面边缘贴合得不够理想，无法完全保持原有的顺滑手感。不过Alpha Glass的触控灵敏度表现很好。我觉得柔性材质的保护膜可能会更合适一些。,屏幕保护膜贴合度; 覆盖范围; 触控灵敏度; 手感; 材质匹配,保护膜; 设计; 触控; 使用体验; 材料,neutral,,,,,,
B00Q7S6UYO_A2ISL7VLS7NB1Y_1449964800,B00Q7S6UYO,5,太棒了！首先，现在黑莓手机已经很少见了。我现在明白为什么卖家会在一包里放3张贴膜了——如果第一张贴不好，就换第二张试试。我就是这么做的，结果完美贴合，几乎感觉不到贴了膜的存在。就这样搞定！强烈推荐给所有人。,贴膜质量; 使用体验; 产品稀有性,保护膜; 易用性; 商品独特性,positive,,,,,,
B00QZS0H2W_ABS9NAFIW9W4T_1441238400,B00QZS0H2W,2,这款屏幕保护膜非常脆弱！而且由于是全屏覆盖设计（对某些人来说可能是优点），很多手机壳都无法兼容。屏幕底部出现了裂痕，我猜测是因为iPhone屏幕本身是曲面的，导致保护膜边缘受力弯曲开裂。最终用了大概6个小时就不得不回到亚马逊寻找其他不覆盖整个正面的玻璃膜了。,耐用性; 设计兼容性; 边缘贴合度,材质; 外观; 适配性,negative,,,,,,
B00AKG2XSQ_AJRO5S1C49UCI_1386028800,B00AKG2XSQ,5,期待中的优质产品，发货迅速，非常满意！这款型号材质确实出色，穿着舒适，颜色鲜明饱满，等等等等，各方面表现都很棒。,产品质量; 发货速度; 材质; 穿着舒适度; 颜色,整体质量; 物流; 材质; 舒适性; 外观,positive,,,,,,
B00Z7T512Q_AJK7XO8EFV2KN_1471392000,B00Z7T512Q,4,我老婆给她的手机买了这个Mophie case。她确实需要额外的电池续航，因为手机经常没电，而且还需要更好的保护，毕竟她总是不小心摔手机:-)。她弟弟一直用这种充电保护壳好几年了，对它赞不绝口。她说这个壳比她之前用的OtterBox稍微滑一点，但充电功能表现不错。摄像头上的保护塑料盖在阳光以特定角度照射时偶尔会产生反光。另外，有时候把手机插在车上充电时，会反复发出“正在充电”的提示音，不知道是什么原因，感觉像是手机在优先给自身充电还是给外壳充电之间有点混乱。,电池续航; 手机保护; 使用手感; 摄像头设计; 充电兼容性,电池; 防护; 材质; 摄像头; 充电,neutral,,,,,,
B00XP6EOY4_A2NJLHLWTT31Q4_1439942400,B00XP6EOY4,4,目前没有漏水情况，很高兴能在夏威夷试试这个 :),漏水情况; 使用体验,密封性; 使用场景,positive,,,,,,
B00Z7SIKFW_A2ZQ4Z6D561BX1_1484524800,B00Z7SIKFW,2,我在Verizon购买了用于S7 Edge的Alpha Glass，这是我的第三块。他们不再提供保修，后来联系OtterBox，对方要求我支付运费和税费。我认为为他们有缺陷的产品多次付费不合理，最终他们才一次性免除了运费和税费。别买这款产品，边缘太厚，严重影响手机触屏的灵敏度。,产品缺陷; 保修政策; 运费和税费; 边缘设计; 触屏灵敏度,质量; 售后服务; 费用; 外观; 使用体验,negative,,,,,,
B00W259T7G_A22CW0ZHY3NJH8_1506988800,B00W259T7G,4,我知道檀香是一种更偏男性化的香味；虽然我不确定是否希望男友用木质香调，但这款香皂里的木香确实是我闻过最好闻的。顺便说一句，女性也可以用。不过得提一下，这块香皂体积挺大，确保你的手足够大能握得住它。,香味; 适用性别; 体积,气味; 设计; 尺寸,positive,,,,,,
B00LA7IH7U_A29OUVU5YJAZ0W_1425340800,B00LA7IH7U,5,这款手机刚刚好，如果你不喜欢大手机或者高额月费，那这就是为你准备的手机。,手机大小; 月费,尺寸; 价格,positive,,,,,,
B0012Y0ZG2_ANNRN691N2WR_1445126400,B0012Y0ZG2,5,我推荐这款眼霜，因为它保湿效果非常出色，每只眼睛只需用一点点就够了。用了几次后，我就发现眼周的细纹变得不那么明显了。,保湿效果; 用量; 细纹改善,保湿; 使用量; 抗衰老,positive,,,,,,
